English,Arabic (Moroccan),Pronunciation
Hello,السلام,assalam
Good evening,مسا لخير,msa lkhir
Goodbye,بسلامة,bslama
See you later,من بعد,man baed
Yes,ايه,ayeh
Yes,نعام,n'am
No,لا,la
Please!,عافاك,aafak
Thanks,شكرا,choukran
Thanks a lot,شكرا بزاف,choukran bizzaf
Thank you for your help,شكرا على المساعدة,choukran aala l'mosaada
Don't mention it,بلا جميل,b'la g'mil
Ok,واخا,wakha
How much is it?,بشحال هدا عافاك؟,bach'hal hada aafak?
Sorry!,سمح ليا,smah liya
I don't understand,ما فهمتش,mafhamtch
I get it,فهمت,fhamt
I don't know,معرفتش,ma'eref'tch
Forbidden,ممنوع,mamnoue
"Excuse me, where are the toilets?",فين كاين لمرحاض من عافاك ؟,fin kayen l'mirhad aafak?
Happy New Year!,سنة سعيدة,sana saida
Happy birthday!,عيد ميلاد سعيد,eid milad said
Happy holiday!,مبروك لعواشر,mabrouk l'aewacher
Congratulations!,مبروك,mabrouk
Hello. How are you?,السلام، لباس عليك؟,"salam, labas aalik?"
"Hello. I'm fine, thank you",السلام، أنا بخير ، شكرا لك.,"salam, ana bikhir, chokran lik"
Do you speak Arabic?,واش كتهضر العربية,wash kassad al' arabia
Do you speak Arabic?,واش كتهضري العربية,wash kassad ali' arabia
"No, I don't speak Arabic",لا، ماكنهضرش العربية,"la, maca da nach al' arabia"
Only a little bit,غير شوية,ghir chwiya
Where do you come from?,من اينا بلاد انتا ؟,man ina blad nta?
Where do you come from?,من اينا بلاد انتا ؟,
What is your nationality?,اشنوهي لجنسية ديالك؟,achnou hiya ljinsia dialek ?
I am English,أنا نجليزي,ana englesi
I am English,أنا نجليزية,ana englesia
"And you, do you live here?",و نتي ساكنة هنا؟,wa nti sakna hna?
"Yes, I live here",اياه، أنا ساكنة هنا,"ayeh, ana sakna hna"
"My name is Sarah, what's your name?",سميتي سارة و نتا؟,smiti sara w nta?
Julian,جوليان,jolian
What are you doing here?,اش كدير هنا؟,ach kadir h'na?
What are you doing here?,آش كديري هنا؟,ach kadiri h'na?
I am on holiday,انا في عطلة,ana f otla
We are on holiday,حنا في عطلة,hna f otla
I am on a business trip,انا في سفر اعمال,ana f safar aemal
I work here,كانخدم هنا,kanakhdam hna
We work here,كانخدمو هنا,kankhadmo hna
Where are the good places to go out and eat?,شنو هما بلايص الماكلة لمزيانين؟,chno houma blayes lmakla lmezianin?
Is there a museum in the neighbourhood?,كأين شي متحف قريب من هنا؟,kayn chi mathaf k'rib man hna?
Where could I get an internet connection?,فين نقدر نتكونيكتا؟,fin nakdar ntkonikta?
I get it,فهمت,fhamt
Do you want to learn a few words?,واش بغيتي تعلم بعض الكلمات؟,wach bghiti t'alem ba'ed lakalmat ?
Do you want to learn a few words?,بغيتي تعلمي تهضري لغتي؟,b'riti t'almi thadri lourti?
"Yes, sure!",ايه، طبعا,"ayah, tab'aan"
What's  this called?,اسميت هدا؟,asmit hada?
It's a table,هادي طابلة,hadi tabla
A table. Do you understand?,طابلة، فهمتي؟,"tabla, fhamti?"
Can you repeat please?,واش ممكن تعاودي عافاك ؟,wach moumkin taawadi aafak ?
"Can you talk a bit more slowly, please ?",واش ممكن تهضري بشوية؟,wach momkin thadri bachwiya?
"Could you write it down, please?",واش يمكن لك تكتبيها عافاك؟,wach yamkan lik t'katbiha aafak?
I like the colour of this table,عجبني لون هدا الطبلة,aajbni loun had tabla
It's red,هادا حمر,hada hmar
Blue,زرق,zrak
Yellow,صفر,sfar
White,بيض,byad
Black,كحل,k'hal
Green,خضر,kh'dar
Orange,ليموني,limouni
Purple,عكري,aakri
Grey,رمادي,r'madi
Zero,زيرو,zirou
One,واحد,wahed
Two,جوج,jouj
Three,تلاتة,tlata
Four,ربعة,rab'aa
Five,خمسة,khamsa
Six,ستة,s'tta
Seven,سبعة,sab'aa
Eight,تمنية,tmanya
Nine,تسعة,tasoud
Ten,عشرة,aachra
Eleven,حضاش,hdach
Twelve,طناش,tnach
Thirteen,تلطاش,tlatach
Fourteen,ربعطاش,rbaetach
Fifteen,خمسطاش,khamstach
Sixteen,سطاش,stach
Seventeen,سبعطاش,sbaetach
Eighteen,تمنطاش,tmantach
Nineteen,تسعطاش,tsaetach
Twenty,عشرين,aachrin
Twenty-one,واحد أو عشرين,wahed ou aachrin
Twenty-two,تنين او عشرين,tnain ou aachrin
Twenty-three,تلاتة او عشرين,tlata ou aachrin
Twenty-four,ربعة او عشرين,rab'aa ou aachrin
Twenty-five,خمسة أو عشرين,khamsa ou aachrin
Twenty-six,ستة او عشرين,setta ou aachrin
Twenty-seven,سبعة او عشرين,sab'aa ou aachrin
Twenty-eight,تمنية او عشرين,tmanya ou aachrin
Twenty-nine,تسعة او عشرين,tas'aa ou aachrin
Thirty,تلاتين,tlatin
Thirty-one,واحد أو تلاتين,wahed ou tlatin
Thirty-two,تنين او تلاتين,tnin ou tlatin
Thirty-three,تلاتة او تلاتين,tlata ou tlatin
Thirty-four,ربعة او تلاتين,rab'aa ou tlatin
Thirty-five,خمسة أو تلاتين,khamsa ou tlatin
Thirty-six,ستة او تلاتين,setta ou tlatin
Forty,ربعين,rab'in
Fifty,خمسين,khamssin
Sixty,ستين,sattin
Seventy,سبعين,sab'in
Eighty,تمانين,t'manyin
Ninety,تسعين,tas'in
One hundred,ميا,m'ya
A hundred and five,ميا او خمسين,m'ya ou khamsin
Two hundred,ميتين,mytayen
Three hundred,تلت ميا,talt m'ya
Four hundred,ربع ميا,r'ba'e m'ya
A thousand,ألف,alf
A thousand five hundred,ألف أو خمس ميا,alf ou khamsamya
Two thousand,ألفين,alfayen
Ten thousand,عشرالاف,aachralaf
When did you get here?,ايمتا جيتي لهنا؟,imta giti lahna?
Today,ليوم,lyoum
Yesterday,لبارح,lbareh
Two days ago,هادي يومين,hadi youmayen
How long are you staying for?,شحال غادي تبقا هنا؟,ch'hal radi tabka hna?
How long are you staying for?,شحال غادي تبقاي هنا؟,ch'hal radi t'bkay h'na?
I'm leaving tomorrow,غادي نمشي غدا,ghadi namchi ghadda
I'll be leaving the day after tomorrow,غادي نمشي بعد غدا,ghadi namchi b'aed ghadda
I'll be leaving in three days,غادي من بعد تلت ايام,ghadi namchi ba'ed talt yam
Monday,لاثنين,latnin
Tuesday,لثلاث,latlat
Wednesday,لاربع,larbae
Thursday,لخميس,lakhmis
Friday,جمعة,jam'aa
Saturday,سبت,sabt
Sunday,لحد,lhad
January,شهر واحد,ch'har wahed
February,شهر جوج,ch'har jouj
March,شهر تلاتة,ch'har tlata
April,شهر ربعة,ch'har rab'aa
May,شهر خمسة,ch'har khamsa
June,شهر ستة,ch'har s'tta
July,شهر سبعة,ch'har s'b'aa
August,شهر تمنية,ch'har t'mnya
September,شهر تسعة,ch'har t'soud
October,شهر عشرة,ch'har aachra
November,شهر حضاش,ch'har hdach
December,شهر طناش,ch'har tnach
What time are you leaving at?,أشمن ساعة غادي تمشي؟,chmen saa ghadi tamchi?
What time are you leaving at?,أشمن ساعة غادية تمشي؟,chmen saa rad'ya tamchi?
"Morning, at eight o'clock",صباح... معا تمنيا,sbah;m'aa tmanya
"Morning, at a quarter past 8",صباح... معا تمنيا أو ربع,"sbah, m'aa tmanya o r'bae"
"Morning, at half past 8",صباح... معا تمنيا أو نص,"sbah, m'aa tmanya o nas"
"Morning, at a quarter to nine",صباح... معا تمنيا أو خمسة أو ربعين,"sbah, m'aa tmanya o khamsa ourabain"
I am late,انا معطل,ana m'atal
I am late,انا معطلة,ana m'atla
Taxi!,! طاكسي,taksi
Where would you like to go?,فين غاديا ؟,fin ghadia?
I'm going to the train station,غاديا لمحطة,ghadia l mahatta
I'm going to the Day and Night Hotel,غاديا لفندق جوغ انوي,ghadia lfondok jour è nuit
I'm going to the day and night Hotel,غادي لفندق ليل و نهار,
"Can you take me to the airport, please?",ممكن توصلني عافاك للمطار؟,momkin twaslini aafak l matar?
"Can you take me to the airport, please?",ممكن توصليني للمطار؟,mokin t'waslini lil matar?
Can you take my luggage?,واش يمكن لك تاخذ لبكاج ديالي ؟,wach yamkan lik takhad lbagaj diali?
Is it far from here?,واش بعيد من هنا؟,wach baed m'n hna?
No it's close,لا، قريب,"la, k'rib"
Yes it's a little bit further away,بعيد شوية,b'aid chwiya
How much will it be?,بشحال؟,b'ch'hal?
"Take me there, please",ديني هنا عافاك,dini hna aafak
You go right,سير على ليمن,sir aala liman
You go left,سير على ليسار,sir aala lisar
It's straight on,كاين نيشان,kayn nichan
It's right here,كاين هنا,kayn hna
It's that way,هنا,hna
Stop!,!وقف,wkaf!
Take your time,خود وقتك,khoud waktak
"Can I have a receipt, please?",ممكن تعطيني فاكتورة عافاك؟,momkin ta'etini factoura aafak?
Do you have family here?,عند ك لعائلة هنا ؟,aandak l'aila hna?
My father,لواليد,lwalid
My mother,لواليدة,lwalida
My son,ولدي,wldi
My daughter,بنتي,bnti
A brother,خويا,khouya
a sister,أختي,khti
a friend,واحد صاحبي,wahed sahbi
a friend,صديقتي,sadikti
My boyfriend,صاحبي,sahbi
My girlfriend,صاحبتي,sahbti
My husband,راجلي,rajli
My wife,مراتي,mrati
I really like your country,كنبغي بلادكم بزاف,kanabghi b'ladkom bazzaf
I love you,كنبغيك,kanbghik
I am happy,انا فرحان,ana farhan
I am sad,انا مقلق,ana mkalak
I feel great here,كنحس براسي مزيان,kanhas b'rasi mazyan
I am cold,فيا لبرد,fiya l'bard
I am hot,فيا صهد,fiya sahd
It's too big,كبير بزاف,k'bir bazzaf
It's too small,صغير بزاف,sghir bazzaf
It's perfect,هو هاداك,howa hadak
Do you want to go out tonight?,بغيتي تخرج ليوما فاليل؟,bghiti takhroj lyuma f'lil?
Do you want to go out tonight?,بغيتي تخرجي ليوما فليل?,b'riti tkhorji l'yuma f'lil?
I would like to go out tonight,بغيت نخرج ليوم فاليل,bghit nakhroj l'yom f'lil
It is a good idea,فكرة مزيانة,fikra mazyana
I want to have fun,باغي ننشط,baghi nanchat
I want to have fun,باغية ننشط,barya n'nchat
It is not a good idea,لا ماشي فكرة مزيانة,la machi fikra mazyana
I don't want to go out tonight,مباغيش نخرج ليوم,mabaghich nakhroj l'youm
I don't want to go out tonight,مباغاش نخرج ليوم,mabarach n'khroj l'yuma
I want to rest,باغي نرتاح,baghi nartah
I want to rest,باغي نرتاح,
Would you like to do some sport?,بغيت دير رياضة؟,bghit dir rayada?
"Yes, I need to relax",اه باغي ننشط,"ah, baghi nanchat"
I play tennis,كنلعب التنيس,kanalaab tinnis
No thanks. I am tired already,لا شكرا عيان بزاف,"la, choukran aayan bazzaf"
No thanks. I am tired already,لا شكرا عيان بزاف,
The bar,لبار,lbar
Would you like to have a drink?,تشرب شي حاجة؟,tachrab chi haja?
Would you like to have a drink?,تشربي شي حاجة؟,t'charbi chi haja?
To drink,كنشرب,kanchrab
Glass,لكاس,lkas
With pleasure,بكل فرح,bkol farah
What would you like?,شنو اللي بغيت ؟,chno li bghit ?
There is water or fruit juices,كاين لما ولا لعصير,kayn l'ma wla l'assir
Water,لما,lma
"Can you add some ice cubes, please?",ممكن تزيد مربعات ديال لكلاصون عافاك؟,momkin tzid mouraba'at dial lglacon afak?
Ice cubes,كلاصون,glassoun
Chocolate,شوكلاط,chouklat
Milk,لحليب,lahlib
Tea,أتاي,atay
Coffee,قهوة,kahwa
With sugar,سكر,skkar
With cream,بلحليب,blahlib
Wine,روج,roug
Beer,بيرة,birra
A tea please,أتاي عافاك,atay aafak
A beer please,بيرة عافاك,birra aafak
What would you like to drink?,شنو بغيتي تشربي؟,chnou bghiti tcharbi?
Two teas please!,جوج ديال أتاي عافاك,jouj dial atay afak
Two beers please!,جوج ديال لبيرات غافاك,jouj dial lbirrat afak
"Nothing, thanks",والو، شكرا,"walou, choukran"
Cheers!,بصحتك,b s'htek
Cheers!,بصحة,bassaha
Can we have the bill please?,لحساب عافاك,lahsab aafak
"Excuse me, how much do I owe?",سمحليا، شحال غا نخلص ؟,"smah lia, chhal gha nkhalas ?"
Twenty euros,ميتين درهم,maytayen darham
It's on me,عارضة عليك,aarda a'lik
The restaurant,ريسطورون,ristouroun
Would you like to eat?,تاكل شي حاجة ؟,takol chi haja?
"Yes, with pleasure",واخا، بكل فرح,"wakha, bkoul farah"
To eat,الماكلة,l'makla
Where can we eat?,فين نقدرو ناكلو؟,fin n'kadrou naklou?
Where can we have lunch?,فين نقدرو نتغداو؟,fin nkadrou netghadaw?
Dinner,لعشا,la'echa
Breakfast,لفطور,laftour
Excuse me!,!عافاك,aafak
"The menu, please",!لا كارط عافاك,la cart aafak
Here is the menu,هاهي لقائمة,hahiya l kaima
What do you prefer to eat? Meat or fish?,"اش بغيتي تاكل, لحم ولا حوت؟","ach b'riti takol, lham oula hout?"
What do you prefer to eat? Meat or fish?,"اش بغيتي تاكلي, لحم و لا حوت؟","ach b'riti takli, l'ham oula hout?"
With rice,بالروز,b rrouz
With pasta,بليبات,blipat
Potatoes,لبطاطا,labtata
Vegetables,بلخضرة,bel khodra
Scrambled eggs - fried eggs - or a boiled egg,لبيض مخلط، مقلي ولا مصلوق؟,"lbid mkhalet, makli oula maslouk?"
Bread,لخبز,lkhobz
Butter,زبدة,zbda
Salad,شلاضة,chlada
Dessert,ديسير,dissir
Fruit,فاكهة,fakiha
"Can I have a knife, please?",ممكن تعطيني موس عافاك؟,momkin ta'atini mouss afak?
"Yes, I'll bring it to you right away",وخا، انا غادي نجيبو لك دابا,"wakha, ana ghadi njibo lik daba"
a knife,موس,mouss
a fork,فورشيطة,fourchita
a spoon,معلقة,maalka
Is it a warm dish?,واش هادا طبق سخون؟,wach hada tabak skhon?
"Yes, very hot also!",!اه وسخون بزاف,"ah, waskhoun b'zzaf !"
Warm,سخون,skhoun
Cold,بارد,bared
Hot,حار,har
I'll have fish,غادي ناخد لحوت,ghadi nakhoud l'hout
Me too,حتا أنا,hta ana
"It's late, I have to go!",تعطل لوقت، خصني نمشي,"t'aatel lwakt, khasni namchi"
Shall we meet again?,واش نقدرو نتشاوفو مرة خرا؟,wach n'kadrou natchawfou mara khra
Yes with pleasure,واخا,wakha
This is my address,كنسكن هنا,kanaskon h'na
Do you have a phone number?,واش عندك رقم تيليفون ؟,wach andak rakem tilifoun
Yes here you go,ايه، هوا هدا,"ayah,houwa hada"
I had a lovely time,دوزت معاك وقت زوين,dawazt maak waket z'win
"Me too, it was a pleasure to meet you",حتا أنا، مزيان مني تلاقينا,"h'ta ana, mezian mni tlakina"
We will see each other soon,غادي نتلاقاو قريب,radi netlakaw k'rib
I hope so too,ان شاء الله,inchaallah
Goodbye,بسلامة,b'slama
See you tomorrow,نتلاقاو غدا,n'tlakaw ghadda
Bye!,بسلامة,baslama
Thanks,شكرا,choukran
Excuse me! I'm looking for the bus stop,عافاك، كنقلب على طوبيس,"aafak, kan kalab aala toubiss?"
How much is a ticket to Sun City?,شحال التيكي لمدينة الشمش عافاك؟,ch'hal tiki l'mdint chamch aafak?
"Where does this train go, please?",فين غادي هاد التران عافاك؟,fin radi had tran aafak?
Does this train stop at Sun City?,واش هدا التران كيوقف فمدينة الشمش؟,wach had tran kayewkaf f'mdint chamch?
When does the train for Sun City leave?,أيمتا كيمشي التران لمدينة الشمش؟,imta kayamchi tran lmdint chamch?
When will this train arrive in Sun City?,أيمتا يجي التران ديال مدينة الشمش؟,imta kayji tran dyal mdint chamch?
"A ticket for Sun City, please",تيكي لمدينة الشمش عافاك,tiki l'mdint chamch aafak?
Do you have the train's time table?,واش عندك توقيت ديال القطارات؟,wach aandak tawkit dial lkitarat ?
Bus schedule,توقيت الطوبيسات,tawkit toubisat
"Excuse me, which train goes to Sun City?",فينا هوا تران لمدينة الشمش عافاك؟,fin howa tran l'mdint chamch aafaki?
This one,هوا هدا,howa hada
"Don't mention it, have a good trip!",بلا جميل، طريق السلامة,"bla j'mil, t'rik salama"
The garage,لميكانيسيان,l'mikanis'yan
The petrol station,سطاسيون,s'ta'syoun
"A full tank, please",لبلان عافاك,laplan aafak
Bike,بشكليطة,b'ch'klita
Town centre,الصونطر فيل,asountar vil
Suburb,خرجة ديال لمدينة,kharja d'yal lamdina
It is a city,هادي مدينة كبيرة,hadi m'dina kbira
It is a village,هادا فيلاج,hada filaj
A mountain,جبل,jbal
a lake,واد,wad
The countryside,عروبية,aaroubiya
The hotel,اوطيل,outil
Apartment,ابارتمون,apartoumon
Welcome!,مرحبا,marahba
Do you have a room available?,عندك شي بيت خاوي ؟,aandak chi bit khawi?
Is there a bathroom in the room?,كأين شي حمام فلبيت؟,kayn chi hammam fel bit?
Would you prefer two single beds?,واش كتفضل جوج ناموسيات ديال شخص واحد؟,wach katfadel jouj namousiyat d'yal cha'kh'ss wahed?
Would you prefer two single beds?,واش كتفضلي جوج ناموسيات ديال شخص واحد؟,wach katfedli jouj namousiyat d'yal cha'kh'ss wahed?
Do you wish to have a twin room?,بغيتي غرفة مزدوجة؟,b'riti gho'rfa mozdawaja?
A room with bathtub - with balcony - with shower,غرفة بلحمام- بلبالكون- بالدوش,gho'rfa balhammam-balbalcoun-badouch
Bed and breakfast,غرفة مع الفطور,gho'rfa maa laftour
How much is it for a night?,بشحال الليلة؟,b'ch'hal lila?
I would like to see the room first,بغيت نشوف عافاكي شومبر هي اللولى ؟,bghit nchoaf aafaki chambre hia lawla ?
"Yes, of course",!ايه ، معلوم,"ayah, ma'eloum"
"Thank you, the room is very nice","شكرا, لبيت مزيان","choukran, l'bit mazian"
"OK, can I reserve for tonight?","واخا, واش يمكن ليا نحجز لهاد الليلة؟","wakha, wach yamkan liya nahjaz lhad lila ?"
"It's a bit too much for me, thank you","غاليا عليا, شكرا","ghalya aaliya, choukran"
"Could you take care of my luggage, please?",ممكن ليك تدي ليا لباكاج ديالي عافاك؟,momkin lik tadi liya l'bagag d'yali aafak?
"Where is my room, please?",فين كأين بيتي عافاك؟,fin kayen biti aafak?
It is on the first floor,في طابق الاول,fi tabak lawal
Is there a lift?,كاين سانسور؟,kayn san'sour?
The elevator is on your left,سانسور على ليسار ديالك,sansour aala lisar dialek
The elevator is on your right,سانسور على ليمان ديالك,sansour aala liman dialek
"Where is the laundry room, please?",فين كأينة المصبنة؟,fin kayna l'masbana?
It is on the ground floor,كاين فطابق سفلي,kayen f tabak safli
Ground floor,طابق سفلي,tabak safli
Bedroom,البيت,l'bit
Dry cleaner's,البريسينغ,lbrising
Hair salon,صالون لحلاقة,saloun l'hilaka
Car parking space,موقف سيارات,mawkif sayarat
Let's meet in the meeting room?,خلينا نتلاقاو فقاعة لجتماعات؟,khalina natlakaw f ka'at ligtima'at
Meeting room,قاعة لجتماعات,ka'at ligtima'at
The swimming pool is heated,لبيسين سخون,la pissin s'khoun
Swimming pool,لبيسين,l pissin
"Please, wake me up at seven a.m.",فيقيني مع السبعة عافاك,faykini m'aa sab'a aafak
"The key, please",ساروت عافاك,ssarout aafak
"The pass, please",لباس عافاك,l pass aafak
Are there any messages for me?,واش كأينين شي ميساجات ليا؟,wach kaynin chi missagat liya?
"Yes, here you are","اه, هاهوما","ah, hahoma"
"No, we didn't receive anything for you",لا متوصلتش بشي حاجة ديالك,"la, matwasaltch bchi haja dialek"
Where can I get some change?,فين نقدر نصرف؟,fin nakdar n'sarraf?
Please can you give me some change?,;واش ممكن تصرفي ليا عافاك؟,wach momkin t'sarfi liya aafak?
"We can make some for you, how much would you like?","ممكن نقادو لك شي حاجة, شحال بغيتي ؟","momkin nkadou lik chi haja , ch'hal bghiti?"
"We can make some for you, how much would you like?","اه, ممكن, شحال بغيتي تصرفي؟","ah mokmin, ch'hal b'riti tsarfi?"
"Excuse me, is Sarah here?",واش سارة هنا عافاك؟,wach sara h'na aafak?
"Yes, she's here",اه هاهي هنا,"ah, hahiya h'na"
She's out,لا خرجات,"la, kharjat"
You can call her on her mobile phone,ممكن تعيط ليها في البورطابل,momkin t'ayet liha fil portabl?
Do you know where I could find her?,واش عارف فين نفدر نلقاها؟,wach aaref fin nakdar nalkaha?
She is at work,هي في الخدمة,hiya fel khadma
She is at home,هي فدارها,hiya f'darha
"Excuse me, is Julien here?",واش جوليان هنا عافاك؟,wach joulian hna aafak?
"Yes, he's here",اه. هاهوهنا,"ah, hahowa h'na"
He's out,لا خرج,"la, khraj"
Do you know where I could find him?,واش عارفة فين نقدر نلقاها؟,wach aarfa fin nakdar nalkaha?
You can call him on his mobile phone,واش ممكن تعيطي ليها في لبورطابل,wach momkin taayti liha fel portabl?
He is at work,هو في الخدمة,howa fel khadma
He is at home,هو فدارو,howa f darou
The beach,لبحر,labhar
Do you know where I can buy a ball?,فين نقدر نشري كورة؟,fin nakdar nachri koura?
There is a store in this direction,كأين حانوت فهاد جيهة,kayen hanout f had jiha
a ball,كرة,koura
Binoculars,منظار,mindar
a cap,كاصكيط,casket
a towel,سربيتة,sarbita
Sandals,صاندالة,sandala
a bucket,سطل,s'tal
Suntan lotion,كريم ضد الشمس,crim dad chamch
Swimming trunks,مأيو,mayyou
Sunglasses,نظاظر د الشمش,n'dader d'yal chamch
Shellfish,محار,mahar
Sunbathing,نتشمش,n'tchamach
Sunny,مشمش,m'chamach
Sunset,غروب الشمش,ghouroub chamch
Parasol,باراصول,parasol
Sun,الشمش,achamch
Sunshade,مظلة ديال الشمش,madalla dial chamch
Sunstroke,التشماش,atachmach
Is it dangerous to swim here?,واش خطر العومان هنا؟,wach khatar l'ouman hna?
"No, it is not dangerous",لا ماشي خطر,la machi khatar
"Yes, it is forbidden to swim here",اه العومان هنا خطر,"ah, l'oumanh'na khatar"
Swim,لعومان,l'ouman
Swimming,سباحة,ssibaha
Wave,لموجة,l mouja
Sea,لبحر,labhar
Dune,لكتبان,l koutban
Sand,رملة,rramla
What is the weather forecast for tomorrow?,اشنو هيا احوال الطقس ديال غدا؟,achnou hiya ahwal takss d'yal ghadda?
The weather is going to change,الجو غادي يتبدل,ljaw ghadi yatbadal
It is going to rain,غادية طيح الشتا,ghad'ya tih chta
It will be sunny,غاديا تكون الشمش,ghadya tkoun chamch
It will be very windy,غاتكون الريح بزاف,ghatkoun rih b'zzaf
Swimming suit,حوايج لعومان,hwayej l'oman
"Can you help me, please?",واش تقدري تعاونني عافاك ؟,wach takadri t'aawanini aafak?
"Can you help me, please?",واش تقدر تعاوني من فضلك ؟,
I'm lost,توضرت,twadart
What would you like?,اش حب لخاطر؟,ach hab lkhater?
What happened?,اش وقع,ach wkae?
Where could I find an interpreter?,فين نقدر نلقى مترجم؟,fin nakder nalka moutarjim?
Where is the nearest chemist's shop?,كأينة شي فارماصيان قريبة من هنا؟,kayna chi farmasian k'riba man hna?
"Can you call a doctor, please",ممكن تعيطي لشي طبيب؟,momkin t'aayti lchi t'bib?
Which kind of treatment are you undergoing at the moment?,اش من دوا متبع دابا؟,ach min dwa mtabe'aa daba?
Which kind of treatment are you undergoing at the moment?,اش من طريطمون متبع دابا؟,
a hospital,سبيطار,s'bitar
a chemist's,فارماصيان,farmasian
a doctor,طبيب,t'bib
Medical department,مصلحة طبية,maslaha tibbiya
I lost my papers,توضرو ليا لوراق,twadrou liya laourak
My papers have been stolen,تسرقو ليا لوراق,tsarkou liya laourak
Lost-property office,مكتب الممتلكات اللي ضاعت,maktab lmomtalakat li da'aat
First-aid station,مركز الانقاد,markaz linkad
Emergency exit,مخرج الاغاثة,makhraj l ighata
The police,لبوليس,lboulis
Papers,لوراق,laourak
Money,لفلوس,l'flouss
Passport,لباسبور,l'pasport
Luggage,لحوايج,lahwayej
"I'm ok, thanks",لا بلاش، شكرا,la blach choukran
Leave me alone!,بعد مني,baed mani
Leave me alone!,بعدي مني,ba'edi m'ni
Go away!,سير فحالك,sir fhalek
Go away!,سيري فحالك,siri f'halek
