Category,English,Arabic (Moroccan),Pronunciation
Essentials,"Can you take me to the airport, please?",ممكن توصليني للمطار؟,mokin t'waslini lil matar?
Essentials,Can you take my luggage?,واش يمكن لك تاخذ لبكاج ديالي ؟,wach yamkan lik takhad lbagaj diali?
Essentials,Is it far from here?,واش بعيد من هنا؟,wach baed m'n hna?
Essentials,No it's close,لا، قريب,"la, k'rib"
Essentials,Yes it's a little bit further away,بعيد شوية,b'aid chwiya
Essentials,How much will it be?,بشحال؟,b'ch'hal?
Essentials,"Take me there, please",ديني هنا عافاك,dini hna aafak
Essentials,You go right,سير على ليمن,sir aala liman
Essentials,You go left,سير على ليسار,sir aala lisar
Essentials,It's straight on,كاين نيشان,kayn nichan
Essentials,It's right here,كاين هنا,kayn hna
Essentials,It's that way,هنا,hna
Essentials,Stop!,!وقف,wkaf!
Essentials,Take your time,خود وقتك,khoud waktak
Essentials,"Can I have a receipt, please?",ممكن تعطيني فاكتورة عافاك؟,momkin ta'etini factoura aafak?
Essentials,Do you have family here?,عند ك لعائلة هنا ؟,aandak l'aila hna?
Essentials,My father,لواليد,lwalid
Essentials,My mother,لواليدة,lwalida
Essentials,My son,ولدي,wldi
Essentials,My daughter,بنتي,bnti
Essentials,A brother,خويا,khouya
Essentials,a sister,أختي,khti
Essentials,a friend,واحد صاحبي,wahed sahbi
Essentials,a friend,صديقتي,sadikti
Essentials,My boyfriend,صاحبي,sahbi
Essentials,My girlfriend,صاحبتي,sahbti
Essentials,My husband,راجلي,rajli
Essentials,My wife,مراتي,mrati
Essentials,I really like your country,كنبغي بلادكم بزاف,kanabghi b'ladkom bazzaf
Essentials,I love you,كنبغيك,kanbghik
Essentials,I am happy,انا فرحان,ana farhan
Essentials,I am sad,انا مقلق,ana mkalak
Essentials,I feel great here,كنحس براسي مزيان,kanhas b'rasi mazyan
Essentials,I am cold,فيا لبرد,fiya l'bard
Essentials,I am hot,فيا صهد,fiya sahd
Essentials,It's too big,كبير بزاف,k'bir bazzaf
Essentials,It's too small,صغير بزاف,sghir bazzaf
Essentials,It's perfect,هو هاداك,howa hadak
Essentials,Do you want to go out tonight?,بغيتي تخرج ليوما فاليل؟,bghiti takhroj lyuma f'lil?
Essentials,Do you want to go out tonight?,بغيتي تخرجي ليوما فليل?,b'riti tkhorji l'yuma f'lil?
Essentials,I would like to go out tonight,بغيت نخرج ليوم فاليل,bghit nakhroj l'yom f'lil
Essentials,It is a good idea,فكرة مزيانة,fikra mazyana
Essentials,I want to have fun,باغي ننشط,baghi nanchat
Essentials,I want to have fun,باغية ننشط,barya n'nchat
Essentials,It is not a good idea,لا ماشي فكرة مزيانة,la machi fikra mazyana
Essentials,I don't want to go out tonight,مباغيش نخرج ليوم,mabaghich nakhroj l'youm
Essentials,I don't want to go out tonight,مباغاش نخرج ليوم,mabarach n'khroj l'yuma
Essentials,I want to rest,باغي نرتاح,baghi nartah
Essentials,I want to rest,باغي نرتاح,
Essentials,Would you like to do some sport?,بغيت دير رياضة؟,bghit dir rayada?
Essentials,"Yes, I need to relax",اه باغي ننشط,"ah, baghi nanchat"
Essentials,I play tennis,كنلعب التنيس,kanalaab tinnis
Essentials,No thanks. I am tired already,لا شكرا عيان بزاف,"la, choukran aayan bazzaf"
Essentials,No thanks. I am tired already,لا شكرا عيان بزاف,
Essentials,The bar,لبار,lbar
Essentials,Would you like to have a drink?,تشرب شي حاجة؟,tachrab chi haja?
Essentials,Would you like to have a drink?,تشربي شي حاجة؟,t'charbi chi haja?
Essentials,To drink,كنشرب,kanchrab
Essentials,Glass,لكاس,lkas
Essentials,With pleasure,بكل فرح,bkol farah
Essentials,What would you like?,شنو اللي بغيت ؟,chno li bghit ?
Essentials,There is water or fruit juices,كاين لما ولا لعصير,kayn l'ma wla l'assir
Essentials,Water,لما,lma
Essentials,"Can you add some ice cubes, please?",ممكن تزيد مربعات ديال لكلاصون عافاك؟,momkin tzid mouraba'at dial lglacon afak?
Essentials,Ice cubes,كلاصون,glassoun
Essentials,Chocolate,شوكلاط,chouklat
Essentials,Milk,لحليب,lahlib
Essentials,Tea,أتاي,atay
Essentials,Coffee,قهوة,kahwa
Essentials,With sugar,سكر,skkar
Essentials,With cream,بلحليب,blahlib
Essentials,Wine,روج,roug
Essentials,Beer,بيرة,birra
Essentials,A tea please,أتاي عافاك,atay aafak
Essentials,A beer please,بيرة عافاك,birra aafak
Essentials,What would you like to drink?,شنو بغيتي تشربي؟,chnou bghiti tcharbi?
Essentials,Two teas please!,جوج ديال أتاي عافاك,jouj dial atay afak
Essentials,Two beers please!,جوج ديال لبيرات غافاك,jouj dial lbirrat afak
Essentials,"Nothing, thanks",والو، شكرا,"walou, choukran"
Essentials,Cheers!,بصحتك,b s'htek
Essentials,Cheers!,بصحة,bassaha
Essentials,Can we have the bill please?,لحساب عافاك,lahsab aafak
Essentials,"Excuse me, how much do I owe?",سمحليا، شحال غا نخلص ؟,"smah lia, chhal gha nkhalas ?"
Essentials,Twenty euros,ميتين درهم,maytayen darham
Essentials,It's on me,عارضة عليك,aarda a'lik
Essentials,The restaurant,ريسطورون,ristouroun
Essentials,Would you like to eat?,تاكل شي حاجة ؟,takol chi haja?
Essentials,"Yes, with pleasure",واخا، بكل فرح,"wakha, bkoul farah"
Essentials,To eat,الماكلة,l'makla
Essentials,Where can we eat?,فين نقدرو ناكلو؟,fin n'kadrou naklou?
Essentials,Where can we have lunch?,فين نقدرو نتغداو؟,fin nkadrou netghadaw?
Essentials,Dinner,لعشا,la'echa
Essentials,Breakfast,لفطور,laftour
Essentials,Excuse me!,!عافاك,aafak
Essentials,"The menu, please",!لا كارط عافاك,la cart aafak
Essentials,Here is the menu,هاهي لقائمة,hahiya l kaima
Essentials,What do you prefer to eat? Meat or fish?,"اش بغيتي تاكل, لحم ولا حوت؟","ach b'riti takol, lham oula hout?"
Essentials,What do you prefer to eat? Meat or fish?,"اش بغيتي تاكلي, لحم و لا حوت؟","ach b'riti takli, l'ham oula hout?"
Essentials,With rice,بالروز,b rrouz
Essentials,With pasta,بليبات,blipat
Essentials,Potatoes,لبطاطا,labtata
Essentials,Vegetables,بلخضرة,bel khodra
Essentials,Scrambled eggs - fried eggs - or a boiled egg,لبيض مخلط، مقلي ولا مصلوق؟,"lbid mkhalet, makli oula maslouk?"
Essentials,Bread,لخبز,lkhobz
Essentials,Butter,زبدة,zbda
Essentials,Salad,شلاضة,chlada
Essentials,Dessert,ديسير,dissir
Essentials,Fruit,فاكهة,fakiha
Essentials,"Can I have a knife, please?",ممكن تعطيني موس عافاك؟,momkin ta'atini mouss afak?
Essentials,"Yes, I'll bring it to you right away",وخا، انا غادي نجيبو لك دابا,"wakha, ana ghadi njibo lik daba"
Essentials,a knife,موس,mouss
Essentials,a fork,فورشيطة,fourchita
Essentials,a spoon,معلقة,maalka
Essentials,Is it a warm dish?,واش هادا طبق سخون؟,wach hada tabak skhon?
Essentials,"Yes, very hot also!",!اه وسخون بزاف,"ah, waskhoun b'zzaf !"
Essentials,Warm,سخون,skhoun
Essentials,Cold,بارد,bared
Essentials,Hot,حار,har
Essentials,I'll have fish,غادي ناخد لحوت,ghadi nakhoud l'hout
Essentials,Me too,حتا أنا,hta ana
Essentials,"It's late, I have to go!",تعطل لوقت، خصني نمشي,"t'aatel lwakt, khasni namchi"
Essentials,Shall we meet again?,واش نقدرو نتشاوفو مرة خرا؟,wach n'kadrou natchawfou mara khra
Essentials,Yes with pleasure,واخا,wakha
Essentials,This is my address,كنسكن هنا,kanaskon h'na
Essentials,Do you have a phone number?,واش عندك رقم تيليفون ؟,wach andak rakem tilifoun
Essentials,Yes here you go,ايه، هوا هدا,"ayah,houwa hada"
Essentials,I had a lovely time,دوزت معاك وقت زوين,dawazt maak waket z'win
Essentials,"Me too, it was a pleasure to meet you",حتا أنا، مزيان مني تلاقينا,"h'ta ana, mezian mni tlakina"
Essentials,We will see each other soon,غادي نتلاقاو قريب,radi netlakaw k'rib
Essentials,I hope so too,ان شاء الله,inchaallah
Essentials,Goodbye,بسلامة,b'slama
Essentials,See you tomorrow,نتلاقاو غدا,n'tlakaw ghadda
Essentials,Bye!,بسلامة,baslama
Essentials,Thanks,شكرا,choukran
Essentials,Excuse me! I'm looking for the bus stop,عافاك، كنقلب على طوبيس,"aafak, kan kalab aala toubiss?"
Essentials,How much is a ticket to Sun City?,شحال التيكي لمدينة الشمش عافاك؟,ch'hal tiki l'mdint chamch aafak?
Essentials,"Where does this train go, please?",فين غادي هاد التران عافاك؟,fin radi had tran aafak?
Essentials,Does this train stop at Sun City?,واش هدا التران كيوقف فمدينة الشمش؟,wach had tran kayewkaf f'mdint chamch?
Essentials,When does the train for Sun City leave?,أيمتا كيمشي التران لمدينة الشمش؟,imta kayamchi tran lmdint chamch?
Essentials,When will this train arrive in Sun City?,أيمتا يجي التران ديال مدينة الشمش؟,imta kayji tran dyal mdint chamch?
Essentials,"A ticket for Sun City, please",تيكي لمدينة الشمش عافاك,tiki l'mdint chamch aafak?
Essentials,Do you have the train's time table?,واش عندك توقيت ديال القطارات؟,wach aandak tawkit dial lkitarat ?
Essentials,Bus schedule,توقيت الطوبيسات,tawkit toubisat
Essentials,"Excuse me, which train goes to Sun City?",فينا هوا تران لمدينة الشمش عافاك؟,fin howa tran l'mdint chamch aafaki?
Essentials,This one,هوا هدا,howa hada
Essentials,"Don't mention it, have a good trip!",بلا جميل، طريق السلامة,"bla j'mil, t'rik salama"
Essentials,The garage,لميكانيسيان,l'mikanis'yan
Essentials,The petrol station,سطاسيون,s'ta'syoun
Essentials,"A full tank, please",لبلان عافاك,laplan aafak
Essentials,Bike,بشكليطة,b'ch'klita
Essentials,Town centre,الصونطر فيل,asountar vil
Essentials,Suburb,خرجة ديال لمدينة,kharja d'yal lamdina
Essentials,It is a city,هادي مدينة كبيرة,hadi m'dina kbira
Essentials,It is a village,هادا فيلاج,hada filaj
Essentials,A mountain,جبل,jbal
Essentials,a lake,واد,wad
Essentials,The countryside,عروبية,aaroubiya
Essentials,The hotel,اوطيل,outil
Essentials,Apartment,ابارتمون,apartoumon
Essentials,Welcome!,مرحبا,marahba
Essentials,Do you have a room available?,عندك شي بيت خاوي ؟,aandak chi bit khawi?
Essentials,Is there a bathroom in the room?,كأين شي حمام فلبيت؟,kayn chi hammam fel bit?
Essentials,Would you prefer two single beds?,واش كتفضل جوج ناموسيات ديال شخص واحد؟,wach katfadel jouj namousiyat d'yal cha'kh'ss wahed?
Essentials,Would you prefer two single beds?,واش كتفضلي جوج ناموسيات ديال شخص واحد؟,wach katfedli jouj namousiyat d'yal cha'kh'ss wahed?
Essentials,Do you wish to have a twin room?,بغيتي غرفة مزدوجة؟,b'riti gho'rfa mozdawaja?
Essentials,A room with bathtub - with balcony - with shower,غرفة بلحمام- بلبالكون- بالدوش,gho'rfa balhammam-balbalcoun-badouch
Essentials,Bed and breakfast,غرفة مع الفطور,gho'rfa maa laftour
Essentials,How much is it for a night?,بشحال الليلة؟,b'ch'hal lila?
Essentials,I would like to see the room first,بغيت نشوف عافاكي شومبر هي اللولى ؟,bghit nchoaf aafaki chambre hia lawla ?
Essentials,"Yes, of course",!ايه ، معلوم,"ayah, ma'eloum"
Essentials,"Thank you, the room is very nice","شكرا, لبيت مزيان","choukran, l'bit mazian"
Essentials,"OK, can I reserve for tonight?","واخا, واش يمكن ليا نحجز لهاد الليلة؟","wakha, wach yamkan liya nahjaz lhad lila ?"
Essentials,"It's a bit too much for me, thank you","غاليا عليا, شكرا","ghalya aaliya, choukran"
Essentials,"Could you take care of my luggage, please?",ممكن ليك تدي ليا لباكاج ديالي عافاك؟,momkin lik tadi liya l'bagag d'yali aafak?
Essentials,"Where is my room, please?",فين كأين بيتي عافاك؟,fin kayen biti aafak?
Essentials,It is on the first floor,في طابق الاول,fi tabak lawal
Essentials,Is there a lift?,كاين سانسور؟,kayn san'sour?
Essentials,The elevator is on your left,سانسور على ليسار ديالك,sansour aala lisar dialek
Essentials,The elevator is on your right,سانسور على ليمان ديالك,sansour aala liman dialek
Essentials,"Where is the laundry room, please?",فين كأينة المصبنة؟,fin kayna l'masbana?
Essentials,It is on the ground floor,كاين فطابق سفلي,kayen f tabak safli
Essentials,Ground floor,طابق سفلي,tabak safli
Essentials,Bedroom,البيت,l'bit
Essentials,Dry cleaner's,البريسينغ,lbrising
Essentials,Hair salon,صالون لحلاقة,saloun l'hilaka
Essentials,Car parking space,موقف سيارات,mawkif sayarat
Essentials,Let's meet in the meeting room?,خلينا نتلاقاو فقاعة لجتماعات؟,khalina natlakaw f ka'at ligtima'at
Essentials,Meeting room,قاعة لجتماعات,ka'at ligtima'at
Essentials,The swimming pool is heated,لبيسين سخون,la pissin s'khoun
Essentials,Swimming pool,لبيسين,l pissin
Essentials,"Please, wake me up at seven a.m.",فيقيني مع السبعة عافاك,faykini m'aa sab'a aafak
Essentials,"The key, please",ساروت عافاك,ssarout aafak
Essentials,"The pass, please",لباس عافاك,l pass aafak
Essentials,Are there any messages for me?,واش كأينين شي ميساجات ليا؟,wach kaynin chi missagat liya?
Essentials,"Yes, here you are","اه, هاهوما","ah, hahoma"
Essentials,"No, we didn't receive anything for you",لا متوصلتش بشي حاجة ديالك,"la, matwasaltch bchi haja dialek"
Essentials,Where can I get some change?,فين نقدر نصرف؟,fin nakdar n'sarraf?
Essentials,Please can you give me some change?,;واش ممكن تصرفي ليا عافاك؟,wach momkin t'sarfi liya aafak?
Essentials,"We can make some for you, how much would you like?","ممكن نقادو لك شي حاجة, شحال بغيتي ؟","momkin nkadou lik chi haja , ch'hal bghiti?"
Essentials,"We can make some for you, how much would you like?","اه, ممكن, شحال بغيتي تصرفي؟","ah mokmin, ch'hal b'riti tsarfi?"
Essentials,"Excuse me, is Sarah here?",واش سارة هنا عافاك؟,wach sara h'na aafak?
Essentials,"Yes, she's here",اه هاهي هنا,"ah, hahiya h'na"
Essentials,She's out,لا خرجات,"la, kharjat"
Essentials,You can call her on her mobile phone,ممكن تعيط ليها في البورطابل,momkin t'ayet liha fil portabl?
Essentials,Do you know where I could find her?,واش عارف فين نفدر نلقاها؟,wach aaref fin nakdar nalkaha?
Essentials,She is at work,هي في الخدمة,hiya fel khadma
Essentials,She is at home,هي فدارها,hiya f'darha
Essentials,"Excuse me, is Julien here?",واش جوليان هنا عافاك؟,wach joulian hna aafak?
Essentials,"Yes, he's here",اه. هاهوهنا,"ah, hahowa h'na"
Essentials,He's out,لا خرج,"la, khraj"
Essentials,Do you know where I could find him?,واش عارفة فين نقدر نلقاها؟,wach aarfa fin nakdar nalkaha?
Essentials,You can call him on his mobile phone,واش ممكن تعيطي ليها في لبورطابل,wach momkin taayti liha fel portabl?
Essentials,He is at work,هو في الخدمة,howa fel khadma
Essentials,He is at home,هو فدارو,howa f darou
Essentials,The beach,لبحر,labhar
Essentials,Do you know where I can buy a ball?,فين نقدر نشري كورة؟,fin nakdar nachri koura?
Essentials,There is a store in this direction,كأين حانوت فهاد جيهة,kayen hanout f had jiha
Essentials,a ball,كرة,koura
Essentials,Binoculars,منظار,mindar
Essentials,a cap,كاصكيط,casket
Essentials,a towel,سربيتة,sarbita
Essentials,Sandals,صاندالة,sandala
Essentials,a bucket,سطل,s'tal
Essentials,Suntan lotion,كريم ضد الشمس,crim dad chamch
Essentials,Swimming trunks,مأيو,mayyou
Essentials,Sunglasses,نظاظر د الشمش,n'dader d'yal chamch
Essentials,Shellfish,محار,mahar
Essentials,Sunbathing,نتشمش,n'tchamach
Essentials,Sunny,مشمش,m'chamach
Essentials,Sunset,غروب الشمش,ghouroub chamch
Essentials,Parasol,باراصول,parasol
Essentials,Sun,الشمش,achamch
Essentials,Sunshade,مظلة ديال الشمش,madalla dial chamch
Essentials,Sunstroke,التشماش,atachmach
Essentials,Is it dangerous to swim here?,واش خطر العومان هنا؟,wach khatar l'ouman hna?
Essentials,"No, it is not dangerous",لا ماشي خطر,la machi khatar
Essentials,"Yes, it is forbidden to swim here",اه العومان هنا خطر,"ah, l'oumanh'na khatar"
Essentials,Swim,لعومان,l'ouman
Essentials,Swimming,سباحة,ssibaha
Essentials,Wave,لموجة,l mouja
Essentials,Sea,لبحر,labhar
Essentials,Dune,لكتبان,l koutban
Essentials,Sand,رملة,rramla
Essentials,What is the weather forecast for tomorrow?,اشنو هيا احوال الطقس ديال غدا؟,achnou hiya ahwal takss d'yal ghadda?
Essentials,The weather is going to change,الجو غادي يتبدل,ljaw ghadi yatbadal
Essentials,It is going to rain,غادية طيح الشتا,ghad'ya tih chta
Essentials,It will be sunny,غاديا تكون الشمش,ghadya tkoun chamch
Essentials,It will be very windy,غاتكون الريح بزاف,ghatkoun rih b'zzaf
Essentials,Swimming suit,حوايج لعومان,hwayej l'oman
Essentials,"Can you help me, please?",واش تقدري تعاونني عافاك ؟,wach takadri t'aawanini aafak?
Essentials,"Can you help me, please?",واش تقدر تعاوني من فضلك ؟,
Essentials,I'm lost,توضرت,twadart
Essentials,What would you like?,اش حب لخاطر؟,ach hab lkhater?
Essentials,What happened?,اش وقع,ach wkae?
Essentials,Where could I find an interpreter?,فين نقدر نلقى مترجم؟,fin nakder nalka moutarjim?
Essentials,Where is the nearest chemist's shop?,كأينة شي فارماصيان قريبة من هنا؟,kayna chi farmasian k'riba man hna?
Essentials,"Can you call a doctor, please",ممكن تعيطي لشي طبيب؟,momkin t'aayti lchi t'bib?
Essentials,Which kind of treatment are you undergoing at the moment?,اش من دوا متبع دابا؟,ach min dwa mtabe'aa daba?
Essentials,Which kind of treatment are you undergoing at the moment?,اش من طريطمون متبع دابا؟,
Essentials,a hospital,سبيطار,s'bitar
Essentials,a chemist's,فارماصيان,farmasian
Essentials,a doctor,طبيب,t'bib
Essentials,Medical department,مصلحة طبية,maslaha tibbiya
Essentials,I lost my papers,توضرو ليا لوراق,twadrou liya laourak
Essentials,My papers have been stolen,تسرقو ليا لوراق,tsarkou liya laourak
Essentials,Lost-property office,مكتب الممتلكات اللي ضاعت,maktab lmomtalakat li da'aat
Essentials,First-aid station,مركز الانقاد,markaz linkad
Essentials,Emergency exit,مخرج الاغاثة,makhraj l ighata
Essentials,The police,لبوليس,lboulis
Essentials,Papers,لوراق,laourak
Essentials,Money,لفلوس,l'flouss
Essentials,Passport,لباسبور,l'pasport
Essentials,Luggage,لحوايج,lahwayej
Essentials,"I'm ok, thanks",لا بلاش، شكرا,la blach choukran
Essentials,Leave me alone!,بعد مني,baed mani
Essentials,Leave me alone!,بعدي مني,ba'edi m'ni
Essentials,Go away!,سير فحالك,sir fhalek
Essentials,Go away!,سيري فحالك,siri f'halek
